path	category	name	frequency_hz	preset	protocol
BruceRF/eFamily_Key_Finder/Tag6.sub	eFamily_Key_Finder	Tag6	433889000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/eFamily_Key_Finder/Tag5.sub	eFamily_Key_Finder	Tag5	433889000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/eFamily_Key_Finder/Tag4.sub	eFamily_Key_Finder	Tag4	433889000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/princeton.sub	Misc	princeton	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/Marvice_GP-01_Pager.SUB	Misc	Marvice_GP-01_Pager	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/nice_flo.sub	Misc	nice_flo	433920000	FuriHalSubGhzPresetOok650Async	Nice FLO
BruceRF/Misc/Fog_Maschine_TFM01_on.sub	Misc	Fog_Maschine_TFM01_on	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/doorhan.sub	Misc	doorhan	433920000	FuriHalSubGhzPresetOok650Async	KeeLoq
BruceRF/Misc/Unknown_433_Princeton.sub	Misc	Unknown_433_Princeton	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/Van_left_blink.sub	Misc	Van_left_blink	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/came_twee.sub	Misc	came_twee	433920000	FuriHalSubGhzPresetOok650Async	CAME TWEE
BruceRF/Misc/Crosswalk_Unknown_24.sub	Misc	Crosswalk_Unknown_24	868350000	FuriHalSubGhzPresetOok650Async	CAME
BruceRF/Misc/Somfy_Telis_electronic_shades.sub	Misc	Somfy_Telis_electronic_shades	433500000	FuriHalSubGhzPresetOok650Async	Somfy Telis
BruceRF/Misc/megacode.sub	Misc	megacode	318000000	FuriHalSubGhzPresetOok650Async	MegaCode
BruceRF/Misc/firefly.sub	Misc	firefly	300000000	FuriHalSubGhzPresetOok650Async	Firefly
BruceRF/Misc/Fog_Maschine_TFM01_off.sub	Misc	Fog_Maschine_TFM01_off	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/Crosswalk_Unknown_12.sub	Misc	Crosswalk_Unknown_12	868350000	FuriHalSubGhzPresetOok650Async	CAME
BruceRF/Misc/came.sub	Misc	came	433920000	FuriHalSubGhzPresetOok650Async	CAME
BruceRF/Misc/firely.sub	Misc	firely	300000000	FuriHalSubGhzPresetOok650Async	Firefly
BruceRF/Misc/holtek.sub	Misc	holtek	418000000	FuriHalSubGhzPresetOok650Async	Holtek
BruceRF/Misc/Crosswalk_Unknown.sub	Misc	Crosswalk_Unknown	868350000	FuriHalSubGhzPresetOok650Async	CAME
BruceRF/Misc/gate_tx.sub	Misc	gate_tx	433920000	FuriHalSubGhzPresetOok650Async	GateTX
BruceRF/Misc/Key Finder/Green_keyfinder.sub	Misc	Green_keyfinder	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/Key Finder/Red_key_finder.sub	Misc	Red_key_finder	433889000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/CIGMAN_CM-720_LaserLevel/V1.sub	Misc	V1	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/CIGMAN_CM-720_LaserLevel/Brightness.sub	Misc	Brightness	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/CIGMAN_CM-720_LaserLevel/Blank.sub	Misc	Blank	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/CIGMAN_CM-720_LaserLevel/H.sub	Misc	H	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/Avtek_Ceiling_Projector/Down.sub	Misc	Down	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/Avtek_Ceiling_Projector/Up.sub	Misc	Up	433920000	FuriHalSubGhzPresetOok650Async	RAW
