folder	files	txt	ps1	py	sh	bat	js	c
The-Perfect-Stealthy-Payload	1	1	0	0	0	0	0	0
This_damn_shell_doesn_t_work___so_sad!	1	1	0	0	0	0	0	0
Tools	11	11	0	0	0	0	0	0
translate	1	1	0	0	0	0	0	0
Tree_of_Knowledge	4	2	1	0	0	1	0	0
Tree_structure_of_the_operating_system	1	1	0	0	0	0	0	0
Try_To_Catch_Me	2	1	0	1	0	0	0	0
UBGZ_Was_Here	1	1	0	0	0	0	0	0
UNC0V3R3D-BadUSB	82	79	1	0	0	0	0	0
Uninstall_A_Specific_App_On_Windows_Through_Control_Panel	1	1	0	0	0	0	0	0
UninstallSignal	1	1	0	0	0	0	0	0
Unsaved-Notepad-to-Discord	2	1	1	0	0	0	0	0
URL-spam-sms	1	1	0	0	0	0	0	0
US-Keyboard-Layout	2	1	1	0	0	0	0	0
USB-Poison	3	2	1	0	0	0	0	0
USBScream	1	1	0	0	0	0	0	0
Uvnc-Remote-Desktop	2	1	1	0	0	0	0	0
Variables	1	1	0	0	0	0	0	0
VillainShellviaNGROKTunnel	1	1	0	0	0	0	0	0
VM-Detection-Report	4	2	2	0	0	0	0	0
Voice-Activated-DarkMode	2	1	1	0	0	0	0	0
Wallpaper-Jumpscare	2	1	1	0	0	0	0	0
Water-UnMark	2	1	0	0	0	0	0	0
web2Discord	1	1	0	0	0	0	0	0
Webcam-to-Discord	2	1	1	0	0	0	0	0
Webhook-Spammer-GUI	2	1	1	0	0	0	0	0
WhatsappMessageSender	1	1	0	0	0	0	0	0
Wifi_and_Show_Passwords_for_Flipper	1	1	0	0	0	0	0	0
Wifi_for_Flipper	1	1	0	0	0	0	0	0
Wifi-Networks-to-Discord	2	1	1	0	0	0	0	0
WiFi-Passwords-Exfiltration-Via-SCP	1	1	0	0	0	0	0	0
Wifi-Stealer_Discord	1	1	0	0	0	0	0	0
Wifi-Stealer_Hook	1	1	0	0	0	0	0	0
Wifi-Stealer_ORG	1	1	0	0	0	0	0	0
Wifi-Stealer_Zoom	1	1	0	0	0	0	0	0
Wifi-Stealer-Discord-Improved	1	1	0	0	0	0	0	0
WifiCredSidechannelExfil	1	1	0	0	0	0	0	0
WIFIPASS-to-Dropbox	1	1	0	0	0	0	0	0
WifiPassGrabberPOST	1	1	0	0	0	0	0	0
WifiProfileExtractor	1	1	0	0	0	0	0	0
Win_Get-TrustedInstaller	2	1	1	0	0	0	0	0
Win_Hid_ImgOverKey	1	1	0	0	0	0	0	0
Win_HID_InvisableDesktopFolder	1	1	0	0	0	0	0	0
Win_PoSH_DesktopDuck	2	1	1	0	0	0	0	0
Win_PoSH_MorseCode	3	2	1	0	0	0	0	0
Win_PoSH_PixelReflection	1	1	0	0	0	0	0	0
win_smb-backdoor	1	1	0	0	0	0	0	0
win_winrm-backdoor	1	1	0	0	0	0	0	0
Win10-Phishing	2	1	1	0	0	0	0	0
Win11-Phishing	2	1	1	0	0	0	0	0
Windows	128	55	8	11	0	0	0	0
windows_hid_exfil	1	1	0	0	0	0	0	0
